Year, Month,Monthly Anomaly, Monthly Unc.,  Annual Anomaly, Annual Unc,Five-Year Anomaly, Five-Year Unc., Ten-Year Anomaly, Ten-Year Unc.,  Twenty-Year Anomaly, Twenty-year Unc.
1960,1,-0.001,0.059,-0.099,0.053,0.048,0.044,-0.025,0.041,-0.023,0.035
1960,2,0.243,0.068,-0.098,0.052,0.045,0.044,-0.025,0.04,-0.02,0.035
1960,3,-0.566,0.061,-0.09,0.051,0.042,0.043,-0.023,0.04,-0.02,0.035
1960,4,-0.205,0.064,-0.078,0.051,0.04,0.043,-0.024,0.04,-0.019,0.035
1960,5,-0.204,0.064,-0.079,0.05,0.038,0.042,-0.023,0.039,-0.019,0.035
1960,6,-0.011,0.07,-0.055,0.05,0.033,0.042,-0.023,0.039,-0.019,0.034
1960,7,-0.094,0.065,-0.045,0.049,0.025,0.042,-0.023,0.039,-0.02,0.034
1960,8,0.034,0.066,-0.047,0.048,0.026,0.041,-0.026,0.039,-0.02,0.034
1960,9,0.033,0.067,0.008,0.047,0.019,0.041,-0.027,0.039,-0.019,0.034
1960,10,0.093,0.054,0.042,0.046,0.016,0.041,-0.028,0.039,-0.018,0.034
1960,11,-0.269,0.061,0.074,0.045,0.012,0.04,-0.027,0.038,-0.017,0.034
1960,12,0.281,0.058,0.089,0.044,0.014,0.04,-0.025,0.038,-0.017,0.034
1961,1,0.119,0.052,0.101,0.044,0.016,0.04,-0.025,0.038,-0.015,0.034
1961,2,0.229,0.056,0.105,0.044,0.024,0.039,-0.023,0.038,-0.014,0.033
1961,3,0.094,0.056,0.109,0.044,0.032,0.039,-0.02,0.038,-0.014,0.033
1961,4,0.194,0.053,0.098,0.044,0.036,0.039,-0.019,0.037,-0.015,0.033
1961,5,0.18,0.067,0.116,0.044,0.038,0.039,-0.017,0.037,-0.015,0.033
1961,6,0.176,0.065,0.078,0.043,0.036,0.039,-0.016,0.037,-0.015,0.033
1961,7,0.046,0.058,0.076,0.043,0.033,0.039,-0.013,0.037,-0.016,0.033
1961,8,0.08,0.063,0.074,0.043,0.029,0.038,-0.011,0.037,-0.016,0.032
1961,9,0.09,0.057,0.079,0.043,0.018,0.038,-0.009,0.036,-0.017,0.032
1961,10,-0.04,0.064,0.066,0.043,0.007,0.037,-0.008,0.036,-0.018,0.032
1961,11,-0.056,0.061,0.035,0.043,0.001,0.037,-0.007,0.036,-0.019,0.032
1961,12,-0.171,0.059,0.016,0.042,-0.001,0.037,-0.008,0.036,-0.02,0.032
1962,1,0.092,0.054,0.003,0.041,-0.003,0.037,-0.007,0.036,-0.023,0.032
1962,2,0.206,0.058,-0.008,0.039,-0.006,0.036,-0.009,0.036,-0.025,0.031
1962,3,0.152,0.055,-0.02,0.039,-0.011,0.036,-0.007,0.035,-0.025,0.031
1962,4,0.042,0.051,-0.015,0.039,-0.016,0.036,-0.008,0.035,-0.025,0.031
1962,5,-0.195,0.065,-0.013,0.038,-0.016,0.036,-0.007,0.035,-0.025,0.031
1962,6,-0.048,0.062,0.003,0.038,-0.021,0.035,-0.009,0.035,-0.024,0.031
1962,7,-0.116,0.054,-0.003,0.038,-0.021,0.035,-0.009,0.035,-0.025,0.031
1962,8,-0.055,0.053,0.008,0.038,-0.029,0.035,-0.011,0.035,-0.025,0.03
1962,9,-0.055,0.053,-0.023,0.038,-0.023,0.035,-0.012,0.034,-0.026,0.03
1962,10,0.026,0.047,-0.037,0.037,-0.024,0.035,-0.012,0.034,-0.026,0.03
